"","dS.mean","dS.lwr","dS.upr"
"back_Reflection-d_Reflection",3.10506173080952,2.73942104015026,3.53487127016067
"belly_Reflection-d_Reflection",0.425837005480085,0.290674311047516,1.02701108731311
"chest_Reflection-d_Reflection",1.03037728124468,0.751654042554232,1.54673055636078
"d_Reflection-head_Reflection",1.22368643013784,1.07963001525316,1.63037616606038
"d_Reflection-rump_Reflection",3.99384522092458,3.59178050536782,4.44045469813775
"45_90_back_Reflection-d_45_90_Reflection",6.1011461367098,5.83976013489998,6.39038555057495
"45_90_belly_Reflection-d_45_90_Reflection",1.87530997761673,1.56976947669417,2.35226181760426
"45_90_chest_Reflection-d_45_90_Reflection",1.94095667453908,1.46962857836592,2.41680138031945
"45_90_head_Reflection-d_45_90_Reflection",2.03787853615037,1.72750506258897,2.50109230421001
"45_90_rump_Reflection-d_45_90_Reflection",5.25419523423521,4.969490135708,5.59913042860305
"45_25_back_Reflection-d_45_25_Reflection",5.04651196210339,4.67024484701321,5.4338673284486
"45_25_belly_Reflection-d_45_25_Reflection",2.32562248038331,1.96168917351372,2.97605781919674
"45_25_chest_Reflection-d_45_25_Reflection",1.70219114582586,1.39177215819413,2.29436168848793
"45_25_head_Reflection-d_45_25_Reflection",1.91970517109075,1.50059045655269,2.50788423691649
"45_25_rump_Reflection-d_45_25_Reflection",4.36036390680373,3.95555237919421,4.80334173759844
