"","dS.mean","dS.lwr","dS.upr"
"back_Reflection-head_Reflection",4.07497928540971,4.07497928540971,4.07497928540971
"belly_Reflection-head_Reflection",0.996970754494571,0.996970754494571,0.996970754494571
"chest_Reflection-head_Reflection",0.40499311760788,0.40499311760788,0.40499311760788
"head_Reflection-rump_Reflection",4.90774217763877,4.90774217763877,4.90774217763877
"head_Reflection-v_Reflection",1.5497419207668,1.19425895297096,2.25890270951376
"45_90_back_Reflection-v_45_90_Reflection",6.89919288537331,5.98161962694382,8.32931529818101
"45_90_belly_Reflection-v_45_90_Reflection",2.89696012530948,1.86423314659141,4.4837069176667
"45_90_chest_Reflection-v_45_90_Reflection",3.05331977696285,1.88889021525026,4.60749791149556
"45_90_head_Reflection-v_45_90_Reflection",3.04171699266141,2.01999332649735,4.6229179033386
"45_90_rump_Reflection-v_45_90_Reflection",6.1445813644269,5.15673896912256,7.6251722328732
"45_25_back_Reflection-v_45_25_Reflection",5.19537554671546,5.0786703274623,5.66522525222456
"45_25_belly_Reflection-v_45_25_Reflection",1.45936314543663,1.40355765717728,2.3059064856698
"45_25_chest_Reflection-v_45_25_Reflection",1.0885102382811,0.918058791141251,2.13675227745838
"45_25_head_Reflection-v_45_25_Reflection",0.780969626040611,0.684589598382447,1.78635325156748
"45_25_rump_Reflection-v_45_25_Reflection",4.78125924155379,4.4920013118667,5.45646237243371
