"","patch1","patch2","dS","dL"
"1","back9090","back4590",2.51819447983504,NA
"2","back9090","back4525",3.10232206239975,NA
"3","back4590","back4525",2.55244280852243,NA
"4","belly9090","belly4590",1.30565568649805,NA
"5","belly9090","belly4525",2.52793659124454,NA
"6","belly4590","belly4525",1.71724860814783,NA
"7","chest9090","chest4590",1.29124852864874,NA
"8","chest9090","chest4525",2.3158276515164,NA
"9","chest4590","chest4525",1.58142197700714,NA
"10","head9090","head4590",2.10451523996854,NA
"11","head9090","head4525",2.14586583237588,NA
"12","head4590","head4525",2.07552644841881,NA
"13","rump9090","rump4590",1.4086844055571,NA
"14","rump9090","rump4525",2.0457524295775,NA
"15","rump4590","rump4525",1.85594390701793,NA
