"","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5"
"Anodorhynchus_glaucus_back_Reflection",4984.15092527921,12.4293040530654,18.6503014321413,0.209538382471851,0.250100050729056,0.313694140639917,0.319648043566809,0.216805545519498,0.165589048937976,5.16872802542132,0.342569455710247,0.16697231672744,830.908329199268,15.0420052826025,0.684805170143074,1.21020494939882,-0.693869459635479,0.202070724116135,547,593,608,2.23769722005358,300
"Anodorhynchus_glaucus_belly_Reflection",4250.5988338831,10.5999970919778,14.7930643653434,0.176344313010342,0.215361713778146,0.28045388208835,0.314817286652437,0.247066141152171,0.237053518998301,7.84404590625962,0.330028919149588,0.100415420217287,640.662015153955,12.9071671457034,-0.844727360385276,1.21765761195082,-0.0183279774860966,0.12227160078482,566,618,361,1.56709417455977,368
"Anodorhynchus_glaucus_chest_Reflection",3971.04174209332,9.90284723714044,13.2448012417001,0.180253340770438,0.219561929495763,0.27052102693054,0.299970116287077,0.244959134411385,0.257839250123326,6.09983743769213,0.31889296683447,0.0741050800798888,527.714043268322,11.0734644844518,-0.839954732739341,1.11821016918457,0.112249901706409,0.0828650541335688,585,619,360,1.34558126601349,300
"Anodorhynchus_glaucus_head_Reflection",4324.47829251279,10.7842351434234,14.9316447796431,0.171306349034727,0.211260724662565,0.277423964711599,0.307062041660511,0.254353204103701,0.253063356991674,7.64448585701777,0.327320081486193,0.101244222063034,633.992827017177,12.9783878753955,-0.842383643235519,1.20345928132976,-0.114638775150844,0.12184329872277,596,631,363,1.43684991824046,368
"Anodorhynchus_glaucus_rump_Reflection",4635.93242150444,11.5609287319313,17.7144091070247,0.208703707263505,0.248856412864228,0.328813420711949,0.307541667618289,0.194654316348087,0.163323767395496,5.9453712910989,0.348989838873897,0.182369679115702,797.969885349339,14.7348796143005,-0.828550988058671,1.27454116844461,-0.698366634808863,0.232437663908995,534,569,353,2.33749276407737,300
"Anodorhynchus_glaucus_45_25_back_Reflection",2460.66890677754,6.13633143834797,11.5428957905798,0.124159977920038,0.169028212219405,0.373368308393234,0.376772236958372,0.231539290361169,0.135395707267876,Inf,0.424308062863204,0.13678422769156,830.404863451853,11.5428957905798,-0.901469107207649,1.88107436936089,-1.6999913670567,0.257301304843419,536,569,374,2.14565059866963,337
"Anodorhynchus_glaucus_45_25_belly_Reflection",2928.14097490006,7.30209719426448,12.4243073912841,0.113060175759845,0.153433732606076,0.307214040930033,0.371537159581889,0.27424338805606,0.217576397351223,Inf,0.388223647538812,0.105119930309105,814.208061473187,12.4243073912841,-0.908948111209056,1.70147110627929,-0.215173391501439,0.178858524115034,556,606,374,1.71449346191634,367
"Anodorhynchus_glaucus_45_25_chest_Reflection",2828.78823436595,7.05433474904227,10.7026041034007,0.114994848168921,0.154183986183906,0.294026544471305,0.338470993211386,0.258131062048436,0.261523897079977,Inf,0.353954705716254,0.0566179555464892,674.903906249118,10.7026041034007,-0.922180828905594,1.51716703050614,0.144347561055787,0.0858988954897956,554,606,369,1.51003201773316,331
"Anodorhynchus_glaucus_45_25_head_Reflection",2820.05081735572,7.03254567919132,11.1527423411695,0.114694153147679,0.154694123159688,0.292058682690358,0.355388783831429,0.283179271333442,0.247304724502563,Inf,0.374406578080172,0.0878040631070967,711.908128462241,11.1527423411695,-0.912741114743395,1.5858755634065,-0.159632674487438,0.139246318049347,565,619,372,1.55577937745496,368
"Anodorhynchus_glaucus_45_25_rump_Reflection",3257.88472176817,8.1244008024144,14.1751226441843,0.135640608205926,0.178563611679379,0.361436743127859,0.348147609861551,0.216432679880266,0.164056079362474,Inf,0.397470307845728,0.159594001022368,918.561501309466,14.1751226441843,0.682878477398326,1.74475915072675,-0.782591548526329,0.278453093684872,533,569,607,2.11161223187251,328
"Anodorhynchus_glaucus_45_90_back_Reflection",6517.04738137775,16.2519884822388,26.3286037848466,0.180989459645094,0.225485939645996,0.378045520573704,0.308384866236039,0.184747622280847,0.141388348165361,160.320531971232,0.378365418232611,0.255364155109575,1593.79636600737,26.1643790067654,-0.873581875060829,1.60991862844103,-1.21674635566039,0.411115510347011,520,569,354,2.44221907643276,303
"Anodorhynchus_glaucus_45_90_belly_Reflection",7926.54293858876,19.7669399964807,27.4272483884402,0.147538416334562,0.182920980311069,0.29795221083427,0.311376559976727,0.22951684468627,0.251409496005059,16.5051146004661,0.329554500710623,0.118906120753472,1435.30353085271,25.7655060102525,-0.855231272034769,1.303464573416,0.107274802036339,0.154989915964476,544,582,365,1.5768422393652,307
"Anodorhynchus_glaucus_45_90_chest_Reflection",7640.86869309774,19.0545353942587,27.4009113928757,0.149865206671383,0.183585543585765,0.281236751468752,0.285396408467075,0.220320332013603,0.291455705142487,8.34768797146035,0.163931306070783,0.056508131599756,1218.11021245512,24.1184562404364,-0.787673688413392,1.2657593450273,0.308718849245315,0.0715256956424236,700,569,380,1.23033735322668,300
"Anodorhynchus_glaucus_45_90_head_Reflection",10217.1717281384,25.4792312422405,35.9812299747604,0.154041272908524,0.189550061355133,0.306201454246133,0.319687035828509,0.236058100295524,0.228532584753141,10.7847992371826,0.33823016660237,0.179546328901445,1899.03783195443,32.6449388502387,-0.831377543759436,1.28123719824477,-0.159595732197367,0.230041435396821,544,606,368,1.73676458519464,308
"Anodorhynchus_glaucus_45_90_rump_Reflection",4537.9534212455,11.3165920729314,17.4594733082833,0.165670224180134,0.21002597018932,0.371187823261769,0.294216270670373,0.183439683845165,0.177693248237684,212.067429635754,0.365249720571517,0.154536621245814,968.531327539772,17.3771434882904,0.950277350628592,1.53554562860452,-0.590765781081431,0.237298033213322,513,568,688,2.31795100457286,314
"palm_camino1_d_Reflection",5094.76393468612,12.7051469692921,18.6552932035077,0.201740577990326,0.229492870265174,0.243046217978684,0.314733935200193,0.238692108326803,0.247869348255055,2.05388744963199,0.325663787676771,0.16594088387288,671.833701210594,9.57237427002365,0.607959507612643,0.753424914576727,0.323640552346811,0.125023996256711,550,300,623,1.22191473331056,699
"palm_cartel_d_Reflection",7151.49297782972,17.8341470768821,25.4126004129839,0.210624606145898,0.23745156518807,0.2316824683456,0.311422004016701,0.241662347103235,0.253692165706292,1.99122961640181,0.322535465144335,0.164894484337047,907.709680503992,12.6503352258555,0.69920063128381,0.70933222493459,0.348700425995365,0.11696497145424,552,655,641,1.05868544397843,699
"palm_tumJ_d_Reflection",6944.59610865223,17.3181947846689,26.0964573476118,0.171359771049269,0.204495970678993,0.27664104058047,0.321723777230017,0.237046092842507,0.238275223809461,3.96206200170947,0.33496817596614,0.194838192943863,1141.28223270033,19.5098725500109,-0.524698119680089,1.12655347699878,0.204076345666743,0.219495643713068,547,569,430,1.54414030402221,699
"palm_tumV_d_Reflection",8013.52984182868,19.9838649422162,24.0553801114397,0.234032963536635,0.264839914029698,0.255503697071868,0.275383224508348,0.215204515084216,0.242458739577995,1.46673196223234,0.287457542701682,0.121134789454814,472.423014859283,7.65471473367853,0.717978887829659,0.383044759150061,0.194523766250969,0.0464000462514125,552,655,643,1.11258954907805,699
"palm_camino1_d_45_90_Reflection",5340.15888325349,13.3171044470162,21.353995616152,0.165748250409522,0.190969653396358,0.249222884542943,0.338224476033882,0.25230861606013,0.254267549647899,2.64826387460794,0.349758901278325,0.157403270058015,1017.52277979532,13.2906013974345,0.620853782845685,0.998009848936224,0.334495585435868,0.157090013772668,549,569,627,1.31838926573574,699
"palm_cartel_d_45_90_Reflection",5628.14735527911,14.0352801877284,21.9437109092921,0.198589320977234,0.223017401675233,0.223614523797415,0.3340156231818,0.255363490023883,0.25123779322073,2.40196286355061,0.344537437721899,0.178137987229832,904.497184915558,12.8079697859449,0.669855470895065,0.912555333034486,0.396061078027762,0.162560770262612,551,655,634,1.12785329535468,699
"palm_tumJ_d_45_90_Reflection",6196.18004796689,15.451820568496,24.3254906104543,0.168824345030706,0.193150615432325,0.237702902358426,0.338498042335125,0.258336105235598,0.262499068226575,2.57851228808099,0.349895385046647,0.173587733059422,1193.33640595004,14.8915659699175,0.701173559203912,0.9637418389571,0.382261299502767,0.167293761079082,551,655,643,1.21318522337643,699
"palm_tumV_d_45_90_Reflection",6338.98449172689,15.8079413758775,21.1759234636431,0.202333954365792,0.229096622496178,0.241870631793467,0.301594098892364,0.237605869640475,0.261644116239417,1.88488376193759,0.313696226915104,0.142369294604261,795.040336744023,9.94131903271787,0.76177455073031,0.628881319606109,0.332175040805683,0.0895333898621188,553,655,655,1.06603712495235,699
"palm_camino1_d_45_25_Reflection",7875.83438203525,19.64048474323,27.5751081785904,0.196508703802824,0.225056174966261,0.257605617354719,0.306755252637334,0.232723866451171,0.246581690631801,1.97474356553082,0.318615580490301,0.147599660608382,993.077179252744,13.611215012959,-0.130681899985764,0.693018282944912,0.227534888196688,0.102289263358073,549,569,504,1.32982086338966,699
"palm_cartel_d_45_25_Reflection",7515.44802460215,18.7417656473869,28.3419207451662,0.185551735693126,0.210374334684837,0.233145633816575,0.329631417954739,0.253889440796503,0.259242031718277,2.28853571242838,0.340852604168503,0.217518116705016,1270.79227798467,15.957617283678,0.718633952085164,0.851446847853574,0.35665966360348,0.185205114819531,551,655,645,1.15435686349258,699
"palm_tumJ_d_45_25_Reflection",10543.1413650686,26.2921231049092,35.8157074825081,0.199877375389027,0.231373349021735,0.267488327079259,0.300100403199765,0.227016060744453,0.240198878100575,1.76078396294657,0.312534113555383,0.189880744788439,1201.86457426379,15.4749341473327,-0.110492017766688,0.588576817687394,0.170983019516542,0.111759404507692,548,569,503,1.4482615852777,699
